支付时间,支付金额,微信流水号,系统流水号,合伙人单号,退款金额,退款单号,
2017-11-04 15:45:46,100,WX:4200000023201711042415670251,PY:201711041545390000000004,MC2017114144,0,,
2017-11-04 12:52:59,29.9,WX:4200000013201711042377558118,PY:201711041252520000000004,DP2017114433,0,,
2017-11-04 09:37:56,10,WX:4200000026201711042330120040,PY:201711040937500000000004,MC2017114143,0,,
2017-11-03 17:27:44,0.01,WX:4200000001201711032203153826,PY:201711031727350000000004,DP2017113431,0,,
2017-11-02 15:16:15,10,WX:4200000011201711021940269974,PY:201711021516090000000004,MC2017112130,0,,
2017-11-02 14:28:58,1,WX:4200000028201711021936552261,PY:201711021428520000000004,MC2017112129,0,,
2017-11-02 14:27:50,1,WX:4200000029201711021933811552,PY:201711021427440000000004,MC2017112128,0,,
2017-11-02 14:05:51,299,WX:4200000022201711021928084661,PY:201711021405450000000004,DP2017112427,0,,
2017-11-02 12:41:12,300,WX:4200000023201711021914495241,PY:201711021241060000000004,MC2017112127,0,,
2017-11-02 12:07:05,1,WX:4200000013201711021904467559,PY:201711021206570000000004,MC2017112126,0,,
2017-11-02 11:24:48,0.9,WX:4200000004201711021889348415,PY:201711021124420000000004,MC2017112125,0,,
2017-11-02 11:23:30,0.1,WX:4200000026201711021888081734,PY:201711021123230000000004,MC2017112124,0,,
2017-11-02 10:43:09,10,WX:4200000026201711021882768939,PY:201711021043020000000004,MC2017112123,0,,
2017-11-02 09:30:00,2000,WX:4200000027201711021869145892,PY:201711020929540000000004,MC2017112122,0,,
2017-11-01 21:05:29,0.01,WX:4200000019201711011790301131,PY:201711012105220000000004,DP2017111424,0,,
2017-11-01 11:16:11,200,WX:4200000030201711011653533394,PY:201711011116050000000004,MC2017111121,0,,
2017-11-01 10:30:53,1,WX:4200000015201711011643790073,PY:201711011030440000000004,MC2017111120,0,,
2017-10-31 09:23:23,5,WX:4200000012201710311414410540,PY:201710310923170000000004,MC20171031119,0,,
2017-10-30 18:38:41,300,WX:4200000009201710301309947660,PY:201710301838350000000004,MC20171030117,0,,
2017-10-28 22:35:52,2,WX:4200000026201710280943998772,PY:201710282235430000000004,MC20171028116,0,,
2017-10-28 16:34:11,500,WX:4200000015201710280869192627,PY:201710281634040000000004,MC20171028115,0,,